id,departamento,region_macro,actitud_lider,actitud_oposicion,actitud_cinismo,golpe_raw,actitud_golpe,cierre_raw,actitud_cierre,prioriza_seguridad,miedo_barrio,victima_crimen,confianza_policia,mujer,educacion,ingresos
6829,Lima,Lima Metropolitana,1,2,3,1,1,2,0,0,1,1,7,1,1,1107
8410,Lima,Lima Metropolitana,4,3,6,1,1,2,0,0,4,1,4,1,4,1104
4073,Lima,Lima Metropolitana,2,4,3,1,1,1,1,0,2,1,4,0,3,1110
2800,Moquegua,Costa Sur,3,4,5,2,0,2,0,1,3,1,4,0,6,1108
2461,Moquegua,Costa Sur,4,4,3,1,1,2,0,0,2,0,4,0,4,1106
8651,Moquegua,Costa Sur,1,4,3,2,0,2,0,0,3,0,2,1,6,1106
1939,Lima,Lima Metropolitana,1,4,3,1,1,1,1,0,4,1,3,1,5,1111
493,Lima,Lima Metropolitana,4,1,3,1,1,1,1,0,3,1,2,0,4,1104
8652,Lima,Lima Metropolitana,1,7,5,2,0,1,1,0,4,0,4,0,1,1105
1268,Lima,Lima Metropolitana,3,1,6,1,1,1,1,0,3,0,7,0,2,1103
7556,Lima,Lima Metropolitana,3,4,4,2,0,1,1,0,4,1,5,1,3,1101
9435,Lima,Lima Metropolitana,3,3,5,2,0,2,0,0,4,0,1,1,1,1104
4307,Lima,Lima Metropolitana,3,2,2,2,0,2,0,1,3,0,3,,1,1101
7100,Lima,Lima Metropolitana,3,4,3,2,0,2,0,0,3,0,3,0,6,1110
7326,Lima,Lima Metropolitana,4,4,2,1,1,1,1,0,4,0,1,1,4,1101
2101,Lima,Lima Metropolitana,3,4,4,2,0,1,1,0,2,0,1,0,6,1115
7738,Lima,Lima Metropolitana,4,5,1,2,0,2,0,0,2,0,4,0,5,1105
9251,Lima,Lima Metropolitana,4,3,2,2,0,2,0,0,3,0,1,1,6,1114
4389,Lima,Lima Metropolitana,2,4,3,1,1,2,0,0,4,0,2,0,4,1103
7668,Lima,Lima Metropolitana,1,5,1,2,0,2,0,0,2,1,5,0,5,1112
6267,Lima,Lima Metropolitana,3,5,2,2,0,1,1,0,4,0,5,0,4,1111
3065,Lima,Lima Metropolitana,1,2,2,1,1,2,0,0,3,0,7,1,4,1106
8872,Cusco,Sierra Sur,3,1,7,2,0,2,0,0,2,1,1,1,4,1102
3974,Cusco,Sierra Sur,2,4,6,2,0,2,0,0,2,0,2,0,3,1102
6493,Cusco,Sierra Sur,3,3,3,2,0,1,1,0,3,0,1,0,4,1105
6073,Cusco,Sierra Sur,2,1,3,1,1,1,1,0,1,1,1,0,6,1105
7000,Cusco,Sierra Sur,2,1,1,1,1,2,0,0,3,1,1,1,4,1101
8393,Puno,Sierra Sur,3,4,4,2,0,2,0,0,3,1,2,0,5,1103
7472,Puno,Sierra Sur,4,2,3,2,0,1,1,0,3,0,3,1,5,1113
4023,Puno,Sierra Sur,3,5,3,1,1,1,1,0,3,0,4,1,4,1105
2196,Puno,Sierra Sur,2,1,3,1,1,2,0,0,4,0,1,1,5,1108
6229,Puno,Sierra Sur,3,3,5,2,0,2,0,0,2,0,2,0,6,
8921,Puno,Sierra Sur,3,4,4,2,0,2,0,0,2,0,2,0,6,1103
9464,Junín,Sierra Centro,1,3,4,2,0,1,1,0,3,0,1,1,4,1107
7170,Junín,Sierra Centro,3,5,1,2,0,2,0,0,3,0,2,1,4,1106
4760,Junín,Selva,1,6,2,1,1,1,1,0,2,0,7,1,3,1105
1116,Junín,Sierra Centro,1,5,2,1,1,1,1,0,3,0,4,0,4,1108
2279,Junín,Sierra Centro,2,6,6,1,1,1,1,0,3,1,5,1,4,1107
6755,Junín,Selva,1,1,1,1,1,2,0,0,3,0,3,1,1,1106
8804,Junín,Sierra Centro,4,5,4,1,1,1,1,0,2,0,1,1,4,1104
5581,Junín,Selva,1,2,3,1,1,2,0,0,3,0,1,0,6,1110
6847,Junín,Sierra Centro,3,1,1,2,0,1,1,0,2,1,1,0,6,1107
8097,Junín,Sierra Centro,2,1,4,1,1,1,1,0,3,1,4,0,6,1107
2406,Junín,Selva,1,7,3,2,0,1,1,0,2,0,1,0,4,1110
3151,Junín,Selva,2,2,4,2,0,2,0,0,4,1,1,0,4,1107
6688,Junín,Selva,1,3,5,1,1,2,0,0,4,0,3,1,4,1107
6346,Junín,Sierra Centro,1,3,6,1,1,1,1,0,3,1,1,0,6,1101
7774,Junín,Selva,2,1,7,1,1,2,0,0,2,0,1,0,4,1107
3282,Junín,Sierra Centro,3,5,5,1,1,1,1,0,1,0,7,0,5,
4747,Junín,Sierra Centro,2,7,6,2,0,2,0,0,3,0,1,0,4,1106
8530,Junín,Sierra Centro,2,5,6,2,0,2,0,0,4,0,1,1,4,1107
1783,Junín,Sierra Centro,3,2,6,2,0,2,0,0,3,1,2,1,5,1107
2962,Junín,Selva,2,1,2,1,1,2,0,0,3,0,4,1,4,1108
4670,Junín,Selva,3,2,4,2,0,2,0,1,2,0,2,0,6,1111
6093,San Martín,Selva,2,4,3,2,0,2,0,0,4,0,4,0,4,1108
2218,San Martín,Selva,2,3,4,1,1,1,1,0,3,0,3,1,3,1111
9206,San Martín,Selva,4,4,5,1,1,2,0,0,4,1,2,1,5,1102
2373,San Martín,Selva,3,6,3,2,0,2,0,0,2,0,3,1,2,1113
739,San Martín,Selva,2,7,1,1,1,2,0,0,3,1,7,0,5,1101
1044,San Martín,Selva,2,6,3,1,1,1,1,1,3,0,6,1,2,1106
401,San Martín,Selva,2,1,2,1,1,2,0,0,1,0,3,0,4,1106
2082,San Martín,Selva,1,4,1,1,1,1,1,0,3,1,2,0,6,1113
1704,San Martín,Selva,3,3,2,1,1,1,1,0,3,1,4,1,5,1106
4788,San Martín,Selva,2,5,2,1,1,1,1,0,3,0,5,0,6,1113
9273,San Martín,Selva,3,3,3,2,0,1,1,0,2,0,1,1,1,1106
7337,San Martín,Selva,1,3,5,1,1,2,0,0,4,0,2,0,6,1106
6996,San Martín,Selva,3,3,5,1,1,2,0,0,3,0,2,1,4,1102
6374,San Martín,Selva,3,4,4,1,1,2,0,0,3,0,2,1,6,1111
1591,San Martín,Selva,2,3,5,1,1,1,1,0,3,0,3,0,4,1109
1779,San Martín,Selva,5,3,3,2,0,1,1,0,2,0,1,0,4,1108
7435,San Martín,Selva,4,1,6,1,1,2,0,0,2,0,2,0,6,1104
3394,San Martín,Selva,2,1,5,2,0,2,0,0,2,0,2,1,4,1104
1225,San Martín,Selva,2,2,3,1,1,2,0,0,1,0,3,0,6,1105
2572,San Martín,Selva,3,5,6,1,1,2,0,0,4,1,2,0,6,1105
3131,San Martín,Selva,3,3,4,1,1,2,0,0,3,1,2,1,6,1113
